LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
x15.sp.c8,Bemidji,scf,soil CO2 efflux collar,,,342843.75,5270878.51,,,427.056,0.0,,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x15seis2.16,Bemidji,ss,seismic survey blast point,,,342739.09,5271062.34,,,430.96,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.15,Bemidji,ss,seismic survey blast point,,,342733.81,5271067.36,,,431.316,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.14,Bemidji,ss,seismic survey blast point,,,342728.41,5271072.32,,,431.521,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.13,Bemidji,ss,seismic survey blast point,,,342723.04,5271077.34,,,431.745,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.12,Bemidji,ss,seismic survey blast point,,,342717.55,5271082.25,,,431.9,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.11,Bemidji,ss,seismic survey blast point,,,342712.24,5271087.24,,,432.079,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.10,Bemidji,ss,seismic survey blast point,,,342706.86,5271092.25,,,432.246,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.09,Bemidji,ss,seismic survey blast point,,,342701.45,5271097.2,,,432.329,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.08,Bemidji,ss,seismic survey blast point,,,342696.33,5271102.04,,,432.445,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.07,Bemidji,ss,seismic survey blast point,,,342690.77,5271107.22,,,432.595,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.06,Bemidji,ss,seismic survey blast point,,,342685.4,5271112.03,,,432.589,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis2.05,Bemidji,ss,seismic survey blast point,,,342680.02,5271116.99,,,432.635,0.0,,,USGS MN Water Science Center,Not applicable,,,,
