LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,LocalSiteCoreSubName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,Core_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,TotalBoring/DrillingDepth_mBLS,NameOfContractor,DrillerName,CoringBegan_mBLS,CoringEnded_mBLS,CoreRecoveryLength_m,TopOfCoreElevation_mASL_NAVD88,CoreLengthPounded_m,CoreBarrelType,SubsurfaceCoreZone,FreeProductOilPresentInCore,DrillersFieldComments,Comments_Miscellaneous
x1613,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1613-6,342545.8,5271091.13,,,433.985,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,2.896,3.353,0.411,431.089,0.457,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1614,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1614-1,342519.14,5271128.36,,,433.404,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,0.0,0.61,0.491,433.404,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1614,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1614-2,342519.14,5271128.36,,,433.404,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,0.61,1.219,0.411,432.794,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1614,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1614-3,342519.14,5271128.36,,,433.404,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,1.219,1.829,0.408,432.185,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1614,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1614-4,342519.14,5271128.36,,,433.404,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,1.829,2.438,0.262,431.575,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1614,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1614-5,342519.14,5271128.36,,,433.404,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,2.438,2.896,0.32,430.966,0.457,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1614,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1614-6,342519.14,5271128.36,,,433.404,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,2.896,3.353,0.335,430.508,0.457,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1615,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1615-1,342493.53,5271156.9,,,433.383,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,0.0,0.61,0.439,433.383,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1615,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1615-2,342493.53,5271156.9,,,433.383,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,0.61,1.219,0.326,432.773,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1615,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1615-3,342493.53,5271156.9,,,433.383,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,1.219,1.829,0.351,432.164,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1615,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1615-4,342493.53,5271156.9,,,433.383,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,1.829,2.438,0.405,431.554,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1615,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1615-5,342493.53,5271156.9,,,433.383,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,2.438,2.896,0.357,430.945,0.457,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1615,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1615-6,342493.53,5271156.9,,,433.383,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,2.896,3.353,0.351,430.487,0.457,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1616,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1616-1,342752.48,5270950.51,,,428.743,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,0.0,0.61,0.549,428.743,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1616,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1616-2,342752.48,5270950.51,,,428.743,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,0.61,1.219,0.378,428.133,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1616,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1616-3,342752.48,5270950.51,,,428.743,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,1.219,1.829,0.369,427.524,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1616,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1616-4,342752.48,5270950.51,,,428.743,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,1.829,2.438,0.366,426.914,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1616,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1616-5,342752.48,5270950.51,,,428.743,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,2.438,2.896,0.317,426.305,0.457,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x1616,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1616-6,342752.48,5270950.51,,,428.743,0.0,20160809,,3.353,USGS MN Water Science Center,B. Mason; J.W. Lund,2.896,3.353,0.317,425.847,0.457,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Installed 10 ft section of 2-inch diameter, Sch. 40 PVC pipe, after coring was complete. No screen on PVC pipe/casing. PVC pipe was installed for neutron probe access.",
x0518-0522,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342765.05,5271031.27,1.0,-22.59,430.313,0.0,20050718,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0523-0524,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342764.25,5271031.09,1.0,-23.4,430.275,0.0,20050718,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0525,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342845.9,5271061.14,1.0,63.43,433.05,0.0,20050719,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0526-0528,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342804.66,5271045.64,1.0,19.44,432.521,0.0,20050719,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0529,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342845.58,5271061.76,1.0,63.39,433.048,0.0,20050720,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0530,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342786.15,5271038.01,1.0,0.57,430.49,0.0,20050721,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0531,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342808.37,5271042.92,1.0,21.73,432.51,0.0,20050924,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0532,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342721.02,5271013.21,1.0,-70.16,,0.0,20050924,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0533,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342829.09,5271052.05,1.0,44.38,432.776,0.0,20050924,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0601,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342846.27,5271062.81,1.0,64.44,433.041,0.0,20060718,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0602,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342851.96,5271064.88,1.0,70.48,432.957,0.0,20060718,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0603,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342857.42,5271067.49,1.0,76.53,432.885,0.0,20060718,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0604-06,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342786.08,5271037.35,1.0,0.9,430.41,0.0,20060719,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0607,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342828.3,5270901.19,,,430.853,0.0,20060719,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,South pool
x0608,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342818.21,5270888.86,,,426.685,0.0,20060719,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,South pool
x0609,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342795.29,5270873.95,,,430.853,0.0,20060719,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,South pool
x0701,Bemidji,tpp,test hole with samples collected by a push probe,,,,342830.71,5271052.92,1.0,46.21,432.806,0.0,20070709,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0702,Bemidji,tpp,test hole with samples collected by a push probe,,,,342840.25,5271058.13,1.0,57.04,433.084,0.0,20070710,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0703,Bemidji,tpp,test hole with samples collected by a push probe,,,,342850.64,5271064.08,1.0,68.95,432.963,0.0,20070711,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0704,Bemidji,tpp,test hole with samples collected by a push probe,,,,342861.19,5271069.03,1.0,80.6,433.2,0.0,20070713,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0705,Bemidji,tpp,test hole with samples collected by a push probe,,,,342871.77,5271075.48,1.0,92.89,433.29,0.0,20070714,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0706,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342862.16,5271068.63,1.0,81.33,433.179,0.0,20070716,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0707,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342872.33,5271074.71,1.0,93.09,433.268,0.0,20070716,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0708,Bemidji,tpp,test hole with samples collected by a push probe,,,,342882.21,5271082.45,1.0,105.26,433.143,0.0,20070717,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0709,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342882.49,5271081.72,1.0,105.22,433.097,0.0,20070717,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0710,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342881.37,5271083.33,1.0,104.85,433.119,0.0,20070717,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0711,Bemidji,tpp,test hole with samples collected by a push probe,,,,342881.99,5271083.16,1.0,105.34,433.111,0.0,20070717,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0712,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342840.02,5271057.49,1.0,56.57,433.018,0.0,20070718,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0713,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342779.52,5271113.99,,,432.065,0.0,20070718,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0714,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342899.72,5271090.18,1.0,124.4,433.345,0.0,20070719,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0715,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342895.16,5271087.83,1.0,119.28,433.295,0.0,20070723,,,USGS MN Water Science Center,W. Larson; J. Greene,,,,,,unknown,,No,,North pool transect
x0801-2,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342806.2,5271046.92,1.0,21.37,432.549,0.0,20080723,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0803,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342899.4,5271090.88,1.0,124.39,433.381,0.0,20080723,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0804,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342773.3,5271035.37,1.0,-13.39,430.21204,0.0,20080719,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0805-12,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342765.57,5271031.19,1.0,-22.15,430.306,0.0,20080723,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0813-22,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342805.06,5271043.83,1.0,19.08,432.409,0.0,20080723,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0823,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342833.99,5271056.03,1.0,50.47,432.949,0.0,20080723,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0824,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342834.14,5271055.45,1.0,50.37,432.941,0.0,20080723,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0908,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342881.12,5271082.43,1.0,104.25,433.115,0.0,20090811,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0909,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342880.14,5271081.93,1.0,103.15,433.089,0.0,20090811,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0910,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342806.51,5271047.43,1.0,21.86,432.569,0.0,20090812,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0911,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342785.02,5271036.62,1.0,-2.17,430.363,0.0,20090813,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0912,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342879.81,5271084.08,1.0,103.72,433.173,0.0,20090814,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0913,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342884.12,5271084.88,1.0,107.99,433.143,0.0,20090814,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0914,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342806.05,5271048.78,1.0,21.99,432.369800480001,0.0,20090819,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0914-20,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342804.04,5271046.06,1.0,19.05,432.5,0.0,20090817,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0921,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342784.49,5271037.24,1.0,-2.4,430.346,0.0,20090817,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0922-28,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342764.75,5271032.13,1.0,-22.52,430.244,0.0,20090818,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0929,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342880.61,5271081.16,1.0,103.27,433.082,0.0,20090818,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x0930,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342895.41,5271086.89,1.0,119.12,433.266,0.0,,Installation date unknown,,USGS MN Water Science Center,Not applicable,,,,,,unknown,,No,,
x1001B,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,x473426095052103,1001B     147N35W02CDAD 01              0000772867,1001,342880.54,5271088.42,1.0,106.15,433.121,0.0,20100526.0,"Core 1001 taken 5/25/10, well completed 5/26/10",,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,"Edge of clear cut along North well transect, contains well 1001B and core 1001"
x1002-5,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342871.44,5271076.29,1.0,92.91,433.336,0.0,20100720,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x1006-7,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342833.54,5271165.37,,,431.62,0.0,20100720,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,"Near 9019, installed geophysics electrodes in location on 7/21/10"
x1008,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342830.58,5271051.1,1.0,45.35,432.771,0.0,20100721,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,"North well transect, near 532 nest"
x1009,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,x473425095052604,1009      147N35W02CDDB  01,,342783.9,5271036.12,1.0,-3.39,430.378,0.0,20100721.0,,7.925,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,Spanning the water table,Yes,,"North well pool, Installed 4-inch diameter well at this location, with 5-ft creened interval."
x1010-16,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342805.57,5271047.18,1.0,20.9,432.72,0.0,20100721,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,"North pool transect, near 601G"
x1017-25,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342760.8,5271033.54,1.0,-25.56,430.086,0.0,20100722,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,"North pool transect, near 9017G"
x1026-38,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342807.51,5271046.63,1.0,22.45,432.55,0.0,20100724,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,"North pool transect, near 601G"
x1051,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342797.86,5271063.06,,,432.259,0.0,20100728,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,Near MESA trailer location
x1052-55,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342780.27,5271042.73,1.0,-4.03,430.388,0.0,20100728,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,"North pool transect, near 301G"
x1056,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342773.33,5271048.15,,,430.652,0.0,20100729,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,North pool transect
x1057-66,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,,342777.87,5271044.4,1.0,-5.55,430.536,0.0,20100729,,,USGS MN Water Science Center,J. Greene; A. Berg,,,,,,unknown,,No,,"North pool transect, near 301G"
x1101,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1101,342759.99,5271038.28,,,430.099,0.0,20110510,Started drilling on 5/10/11 and finished on 5/11/11,22.86,USGS MN Water Science Center,J. Greene; A. Berg,6.401,8.534,2.042,423.698,2.134,Hollow stem: 7-ft wireline piston core sample barrel with freezing drive shoe into 1.875-inch polycarbonate sleeve,Saturated Zone,Yes,"Pounded hard the last 1.5 feet, which was a fine sand w/silt layer. Great core recovery. Light amount of methane bubbles. Did not freeze at the bottom of core.","Tried to drill to refusal, but got down 75 ft. and never hit till. Drilled near 9620"
x1102,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1102,342837.63,5271045.78,,,432.731,0.0,20110620,,10.516,USGS MN Water Science Center,J. Greene; A. Berg,8.382,10.516,1.753,424.349,2.134,Hollow stem: 7-ft wireline piston core sample barrel with freezing drive shoe into 1.875-inch polycarbonate sleeve,Saturated Zone,No,Pounded pretty good. Good recovery.,Located near 419 nest
x1103,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1103,342829.22,5271042.46,,,432.623,0.0,20110620,,10.211,USGS MN Water Science Center,J. Greene; A. Berg,8.077,10.211,1.646,424.546,2.134,Hollow stem: 7-ft wireline piston core sample barrel with freezing drive shoe into 1.875-inch polycarbonate sleeve,Spanning the water table,Yes,Pounded pretty hard most of the way. Very light oil layer. Good recovery,Located near 421
x1104,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1104-1,342811.14,5271045.19,1.0,25.18,432.728,0.0,20110620,,6.096,MN Pollution Control Agency (MPCA),J. Julik,0.0,1.219,0.573,432.728,1.219,Geoprobe macrocore (outdated system) tooling: 4-ft PVC liner with 1.75-inch inner dia.,Unsaturated zone,No,"core named UBC4 in planning docs. Vadose core only. Drilling notes were vague, missing a lot of information.",Located near 534G
x1104,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1104-2,342811.14,5271045.19,1.0,25.18,432.728,0.0,20110620,,6.096,MN Pollution Control Agency (MPCA),J. Julik,1.219,2.438,0.725,431.509,1.219,Geoprobe macrocore (outdated system) tooling: 4-ft PVC liner with 1.75-inch inner dia.,Unsaturated zone,No,"core named UBC4 in planning docs. Vadose core only. Drilling notes were vague, missing a lot of information.",Located near 534G
x1104,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1104-3,342811.14,5271045.19,1.0,25.18,432.728,0.0,20110620,,6.096,MN Pollution Control Agency (MPCA),J. Julik,2.438,3.658,0.802,430.29,1.219,Geoprobe macrocore (outdated system) tooling: 4-ft PVC liner with 1.75-inch inner dia.,Unsaturated zone,No,"core named UBC4 in planning docs. Vadose core only. Drilling notes were vague, missing a lot of information.",Located near 534G
x1104,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1104-4,342811.14,5271045.19,1.0,25.18,432.728,0.0,20110620,,6.096,MN Pollution Control Agency (MPCA),J. Julik,3.658,4.877,0.762,429.07,1.219,Geoprobe macrocore (outdated system) tooling: 4-ft PVC liner with 1.75-inch inner dia.,Unsaturated zone,No,"core named UBC4 in planning docs. Vadose core only. Drilling notes were vague, missing a lot of information.",Located near 534G
x1104,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1104-5,342811.14,5271045.19,1.0,25.18,432.728,0.0,20110620,,6.096,MN Pollution Control Agency (MPCA),J. Julik,4.877,6.096,0.634,427.851,1.219,Geoprobe macrocore (outdated system) tooling: 4-ft PVC liner with 1.75-inch inner dia.,Unsaturated zone,No,"core named UBC4 in planning docs. Vadose core only. Drilling notes were vague, missing a lot of information.",Located near 534G
x1105,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1105-1,342753.49,5271030.76,1.0,-33.37,430.314,0.0,20110620,,4.877,MN Pollution Control Agency (MPCA),J. Julik,0.0,0.61,,430.314,0.61,Geoprobe macrocore (outdated system) tooling: 4-ft PVC liner with 1.75-inch inner dia.,Unsaturated zone,No,"core named ""UBC5"" in planning docs. Vadose core only. No core recovery length recorded. Drilling notes were vague, did not fill out all information.",Located near 604G
